id,name,description,output_statements.failure,output_statements.partial,output_statements.success,fix_details.description,fix_details.instructions,fix_details.estimated_date,fix_details.automation_available,created_by,category,metadata.tags,metadata.category,metadata.severity,metadata.operation.name,metadata.operation.logic,metadata.field_path,metadata.connection_id,metadata.resource_type,metadata.expected_value,updated_by,created_at,updated_at,is_deleted
1,validate_organizational_context,Verifies that the repository description reflects the organizational mission and informs cybersecurity risk management,Check failed: Repository description does not mention the organizational mission,Check partially passed,Check passed: Repository description reflects the organizational mission,Update the repository description to include the organizational mission,"[""Go to the repository settings"", ""Edit the description field to mention the organizational mission""]",2023-06-30,False,llm_generator,configuration,"[""compliance"", ""nist"", ""gv.oc"", ""github""]",configuration,medium,custom,"result = False
if fetched_value and ""organizational mission"" in fetched_value.lower():
  result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T06:25:26.124485""","""2025-08-07T06:25:26.124485""",False
10,audit_record_content_compliance,Verify that audit records contain required event details,Audit records missing required event details,Check partially passed,Audit records contain required event details,Enable advanced security features to capture audit details,"[""Go to repository settings > Code security and analysis"", ""Enable GitHub Advanced Security, Secret scanning, Dependency review""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled and fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T06:29:34.823474""","""2025-08-07T06:29:34.823474""",False
100,github_si_1_policy_procedures,Verify the existence of system and information integrity policy and procedures,Check failed: Repository description does not mention system and information integrity policy and procedures,Check partially passed: Repository description partially covers system and information integrity policy and procedures,Check passed: Repository description indicates the existence of system and information integrity policy and procedures,Update the repository description to clearly mention the system and information integrity policy and procedures,"[""Review the organization's system and information integrity policy and procedures"", ""Update the repository description to include relevant details about the policy and procedures""]",2024-06-30,False,llm_generator,monitoring,"[""compliance"", ""nist"", ""si"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value:
  policy_keywords = [""security"", ""integrity"", ""policy"", ""procedure""]
  for keyword in policy_keywords:
    if keyword.lower() in fetched_value.lower():
      result = True
      break
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:35:53.841034""","""2025-08-07T11:35:53.841034""",False
1000,github_ca_3_4_compliance,Verify compliance with NIST 800-53 CA-3(4) - Information Exchange | Connections to Public Networks,Advanced Security is not enabled for public network connections,Check partially passed,Advanced Security is enabled for public network connections,Enable Advanced Security to comply with CA-3(4),"[""Go to repository Settings > Code security and analysis"", ""Enable GitHub Advanced Security""]",2024-06-30,True,llm_generator,network_security,"[""compliance"", ""nist"", ""ca"", ""github""]",network_security,high,custom,"result = False
if fetched_value == 'enabled':
  result = True
",security_data.dependency_graph.security_and_analysis.advanced_security,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:36:12.851658""","""2025-08-07T22:36:12.851658""",False
1001,store_audit_info_on_different_os,Verify that audit information is stored on a component running a different operating system than the audited system,Audit information is not stored on a separate component with a different operating system,Check partially passed,Audit information is stored on a separate component with a different operating system,Configure GitHub Advanced Security to store audit logs on a separate system,"[""Enable GitHub Advanced Security for the repository"", ""Verify that audit logs are being stored in a separate environment""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,high,custom,"result = False
if fetched_value and fetched_value.lower() == ""enabled"":
  result = True
",security_data.dependency_graph.security_and_analysis.advanced_security,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:37:00.654265""","""2025-08-07T22:37:00.654265""",False
1002,github_au_10_1_identity_association,Verifies that the identity of information producers is bound to the information and can be determined by authorized individuals,"Check failed: Web commit signoff is not required, committer identity not bound to commits",Check partially passed,"Check passed: Web commit signoff is required, associating committer identity with commits",Enable web commit signoff to associate committer identity,"[""Go to repository Settings > Branches"", ""Check 'Require signed commits' option""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value:
  result = True
",repository_data.metadata.web_commit_signoff_required,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:37:20.522368""","""2025-08-07T22:37:20.522368""",False
1003,validate_producer_identity_binding,Validates the binding of information producer identity to repository information at defined frequency,"Web commit signoff is not required, unable to validate producer identity binding",Check partially passed,Web commit signoff is required for validating producer identity binding,Enable web commit signoff requirement for the repository,"[""Navigate to the repository settings"", ""Under 'Commits' section, check 'Require commit signature'""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value:
  result = True
",repository_data.metadata.web_commit_signoff_required,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:37:43.763126""","""2025-08-07T22:37:43.763126""",False
1004,github_maintain_reviewer_releaser_credentials,Verify that reviewer or releaser credentials are maintained within the established chain of custody for information reviewed or released.,Reviewer or releaser credentials are not properly maintained within the chain of custody.,Check partially passed,Reviewer or releaser credentials are maintained within the chain of custody.,Ensure that reviewer or releaser credentials have appropriate permissions set for maintaining the chain of custody.,"[""Review the list of collaborators and their permissions."", ""Grant 'admin' or 'maintain' permissions to authorized reviewers or releasers.""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""au"", ""github""]",access_control,medium,custom,"result = False
collaborators = fetched_value
for collaborator in collaborators:
  if collaborator.permissions.admin or collaborator.permissions.maintain:
    result = True
    break
",collaboration_data.collaborators,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:38:07.240906""","""2025-08-07T22:38:07.240906""",False
1005,validate_binding_reviewer_identity,Validates the binding of the information reviewer identity to the information at transfer or release points between security domains.,Binding of reviewer identity is not validated at transfer/release points between security domains.,Check partially passed,Binding of reviewer identity is validated at transfer/release points between security domains.,Enable advanced security features to validate reviewer identity binding.,"[""Enable GitHub Advanced Security in repository settings"", ""Enable GitHub Secret Scanning in repository settings"", ""Enable GitHub Push Protection in repository settings""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""au"", ""github""]",access_control,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:38:37.603533""","""2025-08-07T22:38:37.603533""",False
1006,audit_query_parameter_pii,Verifies the capability to audit query parameters for data sets containing personally identifiable information (PII),"Secret scanning is not enabled, unable to audit query parameters for PII data sets",Check partially passed,"Secret scanning is enabled, allowing auditing of query parameters for PII data sets",Enable secret scanning for the repository,"[""Navigate to the repository settings"", ""Under 'Security & analysis', enable 'Secret scanning'""]",2023-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,high,custom,"result = False
if fetched_value == 'enabled':
  result = True
",security_data.dependency_graph.security_and_analysis.secret_scanning,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:39:16.966793""","""2025-08-07T22:39:16.966793""",False
