control_id,check_id,created_at,updated_at,is_deleted
80,github_ac_1_compliance,2025-08-12T14:18:22.644643,2025-08-12T14:18:22.644643,False
80,ec2_ac_1_compliance,2025-08-12T14:18:22.651134,2025-08-12T14:18:22.651134,False
80,cloudtrail_ac_1_compliance,2025-08-12T14:18:22.656685,2025-08-12T14:18:22.656685,False
80,iam_ac_1_compliance,2025-08-12T14:18:22.662074,2025-08-12T14:18:22.662074,False
80,s3_ac_1_compliance,2025-08-12T14:18:22.668124,2025-08-12T14:18:22.668124,False
80,cloudwatch_ac_1_compliance,2025-08-12T14:18:22.674355,2025-08-12T14:18:22.674355,False
77,github_ac_10_compliance,2025-08-12T14:18:22.680551,2025-08-12T14:18:22.680551,False
77,ec2_ac_10_compliance,2025-08-12T14:18:22.687045,2025-08-12T14:18:22.687045,False
77,cloudtrail_ac_10_compliance,2025-08-12T14:18:22.692142,2025-08-12T14:18:22.692142,False
77,iam_ac_10_compliance,2025-08-12T14:18:22.698822,2025-08-12T14:18:22.698822,False
77,s3_ac_10_compliance,2025-08-12T14:18:22.705225,2025-08-12T14:18:22.705225,False
77,cloudwatch_ac_10_compliance,2025-08-12T14:18:22.711279,2025-08-12T14:18:22.711279,False
395,github_ac_11_compliance,2025-08-12T14:18:22.716406,2025-08-12T14:18:22.716406,False
395,ec2_ac_11_compliance,2025-08-12T14:18:22.722241,2025-08-12T14:18:22.722241,False
395,cloudtrail_ac_11_compliance,2025-08-12T14:18:22.727571,2025-08-12T14:18:22.727571,False
395,iam_ac_11_compliance,2025-08-12T14:18:22.732897,2025-08-12T14:18:22.732897,False
395,s3_ac_11_compliance,2025-08-12T14:18:22.739075,2025-08-12T14:18:22.739075,False
395,cloudwatch_ac_11_compliance,2025-08-12T14:18:22.744399,2025-08-12T14:18:22.744399,False
599,github_ac_11(1)_compliance,2025-08-12T14:18:22.750804,2025-08-12T14:18:22.750804,False
599,ec2_ac_11(1)_compliance,2025-08-12T14:18:22.756334,2025-08-12T14:18:22.756334,False
599,cloudtrail_ac_11(1)_compliance,2025-08-12T14:18:22.762854,2025-08-12T14:18:22.762854,False
599,iam_ac_11(1)_compliance,2025-08-12T14:18:22.769463,2025-08-12T14:18:22.769463,False
599,s3_ac_11(1)_compliance,2025-08-12T14:18:22.775625,2025-08-12T14:18:22.775625,False
599,cloudwatch_ac_11(1)_compliance,2025-08-12T14:18:22.781632,2025-08-12T14:18:22.781632,False
51,github_ac_12_compliance,2025-08-12T14:18:22.787907,2025-08-12T14:18:22.787907,False
51,ec2_ac_12_compliance,2025-08-12T14:18:22.794127,2025-08-12T14:18:22.794127,False
51,cloudtrail_ac_12_compliance,2025-08-12T14:18:22.800042,2025-08-12T14:18:22.800042,False
51,iam_ac_12_compliance,2025-08-12T14:18:22.806311,2025-08-12T14:18:22.806311,False
51,s3_ac_12_compliance,2025-08-12T14:18:22.812868,2025-08-12T14:18:22.812868,False
51,cloudwatch_ac_12_compliance,2025-08-12T14:18:22.818735,2025-08-12T14:18:22.818735,False
377,github_ac_12(1)_compliance,2025-08-12T14:18:22.824675,2025-08-12T14:18:22.824675,False
377,ec2_ac_12(1)_compliance,2025-08-12T14:18:22.831109,2025-08-12T14:18:22.831109,False
377,cloudtrail_ac_12(1)_compliance,2025-08-12T14:18:22.838537,2025-08-12T14:18:22.838537,False
377,iam_ac_12(1)_compliance,2025-08-12T14:18:22.845528,2025-08-12T14:18:22.845528,False
377,s3_ac_12(1)_compliance,2025-08-12T14:18:22.851415,2025-08-12T14:18:22.851415,False
377,cloudwatch_ac_12(1)_compliance,2025-08-12T14:18:22.857757,2025-08-12T14:18:22.857757,False
254,github_ac_12(2)_compliance,2025-08-12T14:18:22.864547,2025-08-12T14:18:22.864547,False
254,ec2_ac_12(2)_compliance,2025-08-12T14:18:22.871580,2025-08-12T14:18:22.871580,False
254,cloudtrail_ac_12(2)_compliance,2025-08-12T14:18:22.878465,2025-08-12T14:18:22.878465,False
254,iam_ac_12(2)_compliance,2025-08-12T14:18:22.884548,2025-08-12T14:18:22.884548,False
254,s3_ac_12(2)_compliance,2025-08-12T14:18:22.890966,2025-08-12T14:18:22.890966,False
254,cloudwatch_ac_12(2)_compliance,2025-08-12T14:18:22.898126,2025-08-12T14:18:22.898126,False
551,github_ac_12(3)_compliance,2025-08-12T14:18:22.905425,2025-08-12T14:18:22.905425,False
551,ec2_ac_12(3)_compliance,2025-08-12T14:18:22.913066,2025-08-12T14:18:22.913066,False
551,cloudtrail_ac_12(3)_compliance,2025-08-12T14:18:22.919989,2025-08-12T14:18:22.919989,False
551,iam_ac_12(3)_compliance,2025-08-12T14:18:22.927031,2025-08-12T14:18:22.927031,False
551,s3_ac_12(3)_compliance,2025-08-12T14:18:22.934215,2025-08-12T14:18:22.934215,False
551,cloudwatch_ac_12(3)_compliance,2025-08-12T14:18:22.941833,2025-08-12T14:18:22.941833,False
439,github_ac_13_compliance,2025-08-12T14:18:22.949117,2025-08-12T14:18:22.949117,False
439,ec2_ac_13_compliance,2025-08-12T14:18:22.956384,2025-08-12T14:18:22.956384,False
439,cloudtrail_ac_13_compliance,2025-08-12T14:18:22.963898,2025-08-12T14:18:22.963898,False
439,iam_ac_13_compliance,2025-08-12T14:18:22.971551,2025-08-12T14:18:22.971551,False
439,s3_ac_13_compliance,2025-08-12T14:18:22.978811,2025-08-12T14:18:22.978811,False
