id,name,short_description,long_description,path,labels,created_at,updated_at,active,framework_id,index
1,FedRamp Li-SAAS,"The LI-SaaS Baseline accounts for Low-Impact SaaS applications that do not store personal identifiable information (PII) beyond that is generally required for login capability (i.e. username, password, and email address)","The LI-SaaS Baseline accounts for Low-Impact SaaS applications that do not store personal identifiable information (PII) beyond that is generally required for login capability (i.e. username, password, and email address)",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,10
2,FedRamp Low,"The FedRAMP low-impact level is a cloud security standard that applies to cloud service offerings (CSOs) that pose minimal risk to a federal agency's operations, assets, or individuals","The FedRAMP low-impact level is a cloud security standard that applies to cloud service offerings (CSOs) that pose minimal risk to a federal agency's operations, assets, or individuals",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,11
3,FedRamp Moderate,FedRAMP Moderate is a security baseline for cloud products and services that protects sensitive but unclassified information,"FedRAMP Moderate is recommended for organizations that need a moderate level of security protection for non-sensitive, unclassified information. It's also suitable for applications that handle personally identifiable information (PII)",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,9
4,FedRamp High,"FedRAMP High is the highest level of security within the FedRAMP program, and is designed to protect the federal government's most sensitive, unclassified data","FedRAMP High is the highest level of security within the FedRAMP program, and is designed to protect the federal government's most sensitive, unclassified data. It's used by cloud service providers (CSPs) to manage highly sensitive data related to national security, public health, and other sensitive government functions. FedRAMP High's security controls are designed to ensure the confidentiality, integrity, and availability of critical information. These controls include: Data encryption, Access controls, Continuous monitoring, Robust data sovereignty compliance, and Resilient data security. FedRAMP High has stricter security requirements than FedRAMP Moderate, and requires 421 security controls. These controls are divided into 17 control families, including Access Control, Audit and Accountability, Personnel Security, Risk Assessment, Contingency Planning, and Incident Response.",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,8
5,DOD SRG IL4,The Department of Defense (DoD) Impact Level 4 (IL4) is a security standard for non-classified information that requires a higher level of protection than IL2,"The Department of Defense (DoD) Impact Level 4 (IL4) is a security standard for non-classified information that requires a higher level of protection than IL2. It's defined in the DoD Cloud Computing Security Requirements Guide (CC SRG). IL4 protects information that could cause damage if compromised, such as: Controlled Unclassified Information (CUI), Personally Identifiable Information (PII), Personal Health Information (PHI), Non-Critical Mission Information, and Non-National Security Systems (NSS). IL4 requires a comprehensive set of security controls, including: 
Access controls
Identification and authentication
Encryption
Auditing
Monitoring
More rigorous physical and environmental security measures
More extensive personnel security measures
Cloud Service Providers (CSPs) that support DoD customers must comply with IL4 requirements.",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,7
6,DOD SRG IL5,The Department of Defense (DoD) Cloud Computing Security Requirements Guide (SRG) Impact Level 5 (IL5) is a cybersecurity term that defines the highest level of security controls for sensitive information and mission-critical systems in cloud environments,"The Department of Defense (DoD) Cloud Computing Security Requirements Guide (SRG) Impact Level 5 (IL5) is a cybersecurity term that defines the highest level of security controls for sensitive information and mission-critical systems in cloud environments.
What it covers
IL5 covers unclassified but highly sensitive information, including: 
Controlled Unclassified Information (CUI) 
Mission-critical information 
Unclassified National Security Information (U-NSI)

Why it's important
IL5 is important because the loss of this data could result in: 
Loss of life 
Catastrophic damage to national security 
Grave damage to the DoD's ability to conduct operations 
Security controls
IL5 requires extremely stringent security controls, including: 
Continuous monitoring 
Advanced access controls 
Data encryption 
Other security protocols 
Who's responsible
The Defense Information Systems Agency (DISA) is responsible for developing and maintaining the DoD SRG. Cloud Service Providers (CSPs) that support DoD customers must comply with the SRG's requirements.",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,6
7,DOD SRG IL5-NSS,"DoD SRG IL5-NSS (Department of Defense Security Requirements Guide Impact Level 5 for Nonclassified Sensitive Systems) is a framework for safeguarding controlled unclassified information (CUI) in cloud computing environments. It ensures stringent security controls, high levels of data protection, and adherence to U.S. government and DoD policies.","The Department of Defense (DoD) Security Requirements Guide (SRG) for Impact Level 5 (IL5) pertains to the handling and protection of controlled unclassified information (CUI) and National Security Systems (NSS) within cloud environments. IL5 represents a heightened level of security that requires compliance with numerous DoD-specific security measures, including strict identity management, data segregation, encryption, and auditing protocols.

This level is particularly designed for scenarios where CUI or mission-critical data is processed, stored, or transmitted, ensuring compliance with DoD directives and safeguarding against potential cyber threats. Providers operating at IL5 must demonstrate capabilities such as geographic separation of data, robust disaster recovery, and the use of U.S. personnel for access and management. Adherence to IL5 requirements supports DoD's mission readiness while maintaining the confidentiality, integrity, and availability of sensitive information.",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,5
8,DOD SRG IL6,"DoD SRG IL6 (Department of Defense Security Requirements Guide Impact Level 6) is a framework for protecting classified information up to Secret in cloud environments. It enforces the most stringent security controls to ensure the confidentiality, integrity, and availability of sensitive national security data.","The Department of Defense (DoD) Security Requirements Guide (SRG) for Impact Level 6 (IL6) is the highest classification level for cloud environments authorized to handle classified data up to the Secret level. IL6 builds on the requirements of lower impact levels, adding advanced controls to safeguard classified information from unauthorized access, breaches, and cyber threats.

This framework mandates robust security measures, including end-to-end encryption, classified data handling protocols, adherence to the National Industrial Security Program Operating Manual (NISPOM), and stringent access controls limited to U.S. citizens with appropriate clearances. IL6 environments also require isolation from lower classification levels and operate within government-approved facilities. Compliance with IL6 ensures that mission-critical and national security-related information remains protected, supporting DoD's operational goals while mitigating risks associated with handling classified materials in the cloud.",,,2024-12-23T18:25:25.130787,2024-12-23T18:25:25.130787,True,2,4
9,CMMC 2.0 Level 1,"CMMC 2.0 Level 1 requires companies handling Federal Contract Information (FCI) to implement 15 basic cybersecurity practices, conduct annual self-assessments, and meet minimum security standards.","CMMC 2.0 Level 1 requires companies handling Federal Contract Information (FCI) to implement 15 basic cybersecurity practices, conduct annual self-assessments, and meet minimum security standards.",,,2025-02-03T05:55:26.488802,2025-02-03T05:55:26.488802,True,3,3
10,CMMC 2.0 Level 2,"CMMC 2.0 Level 2 requires companies handling Controlled Unclassified Information (CUI) to implement 110 security controls based on NIST SP 800-171, undergo third-party assessments, and achieve a minimum score of 88.","CMMC 2.0 Level 2 requires companies handling Controlled Unclassified Information (CUI) to implement 110 security controls based on NIST SP 800-171, undergo third-party assessments, and achieve a minimum score of 88.",,,2025-02-03T05:55:26.488802,2025-02-03T05:55:26.488802,True,3,2
