id,standard_id,control_id,additional_selection_parameters,additional_guidance,created_at,updated_at
1,8,1,"AC-1 (c)(1) [at least annually]
 AC-1 (c)(2) [at least annually] [significant changes]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
2,8,2,"AC-2 (h)(1) [twenty-four(24) hours]
 AC-2 (h)(2) [eight(8) hours]
 AC-2 (h)(3) [eight(8) hours]
 AC-2 (j) [monthly for privileged accessed, every six(6) months for non-privileged access]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
3,8,3,AC-2(1),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
4,8,4,"AC-2(2) [Selection: disables] 
 [Assignment: no more than 24 hours from last use]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
5,8,5,"AC-2(3) [24 hours for user accounts]
 AC-2(3) (d) [thirty-five(35) days] (See additional requirements and guidance.)","AC-2(3) Requirement: The service provider defines the time period for non-user accounts (e.g., accounts associated with devices). The time periods are approved and accepted by the JAB/AO. Where user management is a function of the service, reports of activity of consumer users shall be made available.
 AC-2(3) (d) Requirement: The service provider defines the time period of inactivity for device identifiers.
 Guidance: For DoD clouds, see DoD cloud website for specific DoD requirements that go above and beyond FedRAMP https://public.cyber.mil/dccs/.",2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
6,8,6,AC-2(4),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
7,8,7,AC-2(5) [inactivity is anticipated to exceed Fifteen(15) minutes],AC-2(5) Guidance: Should use a shorter timeframe than AC-12.,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
8,8,9,AC-2(7),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
9,8,11,AC-2(9) [organization-defined need with justification statement that explains why such accounts are necessary],AC-2(9) Requirement: Required if shared/group accounts are deployed,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
10,8,13,AC-2(11),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
11,8,14,"AC-2(12) (b)[at a minimum, the ISSO and/or similar role within the organization]","AC-2(12) (a) Requirement: Required for privileged accounts.
 AC-2(12) (b) Requirement: Required for privileged accounts.",2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
12,8,15,AC-2(13)-1 [one(1) hour],,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
13,8,16,AC-3,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
14,8,18,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
15,8,20,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
16,8,32,AC-4,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
17,8,36,AC-4(4)-1 [intrusion detection mechanisms],AC-4(4) Requirement: The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf) and M-22-9 (https://www.whitehouse.gov/wp-content/uploads/2022/01/M-22-9.pdf).,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
18,8,53,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
19,8,65,AC-5,AC-5 Guidance: CSPs have the option to provide a separation of duties matrix as an attachment to the SSP.,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
20,8,66,AC-6,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
21,8,67,"AC-6(1) (a) [all functions not publicly accessible]
 AC-6(1) (b) [all security-relevant information not publicly available]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
22,8,68,AC-6(2) [all security functions],"AC-6(2) Guidance: Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions.",2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
23,8,69,AC-6(3)-1 [all privileged commands],,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
24,8,71,AC-6(5),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
25,8,73,"AC-6(7) (a)-1 [at a minimum, annually]
 AC-6(7) (a)-2 [all users with privileges]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
26,8,74,AC-6(8) [any software except software explicitly documented],,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
27,8,75,AC-6(9),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
28,8,76,AC-6 (10),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
29,8,77,"AC-7
For privileged users, DOD limits to three unsuccessful attempts and requires an administrator to unlock. For nonprivileged users, if rate limiting, DOD will allow 10 attempts with the account automatically unlocked after 30 minutes. If rate limiting is not used, normal DSPAV will be required.",AC-7 Requirement: In alignment with NIST SP 800-63B,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
30,8,82,"AC-8 (a) [see additional Requirements and Guidance]
 AC-8 (c)(1) [see additional Requirements and Guidance]","AC-8 Requirement: The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the JAB/AO. 
 
 Requirement: The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the JAB/AO.
 
 Requirement: If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results are approved and accepted by the JAB/AO.
 
 Guidance: If performed as part of a Configuration Baseline check, then the % of items requiring setting that are checked and that pass (or fail) check can be provided.",2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
31,8,88,AC-10-2 [three(3) sessions for privileged access and two(2) sessions for non-privileged access],,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
32,8,89,AC-11 (a) [fifteen(15) minutes]; requiring the user to initiate a device lock before leaving the system unattended,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
33,8,90,AC-11(1),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
34,8,91,AC-12,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
35,8,92,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
36,8,93,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
37,8,96,AC-14,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
38,8,99,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
39,8,104,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
40,8,105,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
41,8,106,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
42,8,110,AC-17,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
43,8,111,AC-17(1),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
44,8,112,AC-17(2),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
45,8,113,AC-17(3),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
46,8,114,AC-17(4),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
47,8,116,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
48,8,119,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
49,8,120,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
50,8,121,AC-18,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
51,8,122,AC-18(1),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
52,8,124,AC-18(3),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
53,8,125,AC-18(4),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
54,8,126,AC-18(5),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
55,8,127,AC-19,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
56,8,131,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
57,8,132,AC-19(5),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
58,6,1068,SI-4(4) (b)-1 [continuously],,2025-01-13T15:18:12.186151,2025-01-13T15:18:12.186151
59,8,133,AC-20,"AC-20 Guidance: The interrelated controls of AC-20, CA-3, and SA-9 should be differentiated as follows:
 AC-20 describes system access to and from external systems.
 CA-3 describes documentation of an agreement between the respective system owners when data is exchanged between the CSO and an external system.
 SA-9 describes the responsibilities of external system owners. These responsibilities would typically be captured in the agreement required by CA-3.",2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
60,8,134,AC-20(1),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
61,8,135,AC-20(2),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
62,8,136,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
63,8,137,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
64,8,139,AC-21,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
65,8,142,AC-22 (d) [at least quarterly],,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
66,8,143,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
67,8,148,"AT-1 (c)(1) [at least annually]
 AT-1 (c)(2) [at least annually] [significant changes]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
68,8,149,"AT-2 (a)(1) [at least annually]
 AT-2 (c) [at least annually]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
69,8,151,AT-2(2),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
70,8,152,AT-2(3),,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
71,8,153,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
72,8,154,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
73,8,155,,,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
74,8,156,"AT-3 (a)(1) [at least annually]
 AT-3 (b) [at least annually]",,2025-01-13T15:16:58.420796,2025-01-13T15:16:58.420796
